id,uuid,name,kotkab_id,email,email_verified_at,jabatan,supervisor_id,password,active
1,35a1e5db-7ead-43ca-a326-2e2b4d5ffa35,Penerima Pengaduan Team 1,,pengaduan_team1@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
2,35a1e5db-7ead-43ca-a326-2e2b4d5ffa36,Penerima Pengaduan Team 2,,pengaduan_team2@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
3,35a1e5db-7ead-43ca-a326-2e2b4d5ffa37,Penerima Pengaduan Team 3,,pengaduan_team3@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
4,35a1e5db-7ead-43ca-a326-2e2b4d5ffa38,Penerima Pengaduan Team 4,,pengaduan_team4@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
5,35a1e5db-7ead-43ca-a326-2e2b4d5ffa39,Penerima Pengaduan Team 5,,pengaduan_team5@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
6,35a1e5db-7ead-43ca-a326-2e2b4d5ffa40,Penerima Pengaduan Team 6,,pengaduan_team6@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
7,35a1e5db-7ead-43ca-a326-2e2b4d5ffa41,Penerima Pengaduan Team 7,,pengaduan_team7@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
8,35a1e5db-7ead-43ca-a326-2e2b4d5ffa42,Penerima Pengaduan Team 8,,pengaduan_team8@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
9,35a1e5db-7ead-43ca-a326-2e2b4d5ffa43,Penerima Pengaduan Team 9,,pengaduan_team9@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
10,35a1e5db-7ead-43ca-a326-2e2b4d5ffa44,Penerima Pengaduan Team 10,,pengaduan_team10@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
11,35a1e5db-7ead-43ca-a326-2e2b4d5ffa45,Penerima Pengaduan Team 11,,pengaduan_team11@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
12,35a1e5db-7ead-43ca-a326-2e2b4d5ffa46,Penerima Pengaduan Team 12,,pengaduan_team12@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
13,35a1e5db-7ead-43ca-a326-2e2b4d5ffa47,Penerima Pengaduan Team 13,,pengaduan_team13@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
14,35a1e5db-7ead-43ca-a326-2e2b4d5ffa48,Penerima Pengaduan Team 14,,pengaduan_team14@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
15,35a1e5db-7ead-43ca-a326-2e2b4d5ffa49,Penerima Pengaduan Team 15,,pengaduan_team15@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
16,35a1e5db-7ead-43ca-a326-2e2b4d5ffa50,Penerima Pengaduan Team 16,,pengaduan_team16@moka.ol  ,,Penerima Pengaduan,0,$2y$10$o5g3uSPxMY7/QfRErCP8fufH3NLSJivnfhvGgbf7HrIByL6FvsGwS,1
